patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
highwave20,10,2752.0,9.38,15399.375,11381,10,4845.72628,5730.0,11.89,7.83504011939,16.337
highwave20,6,1472.0,6.92,9935.28125,8474,5,6456.72159,6911.5,7.28,7.68853213822,15.46
medwave20,15,1728.0,8.07,12185.94375,9861,19,6539.95993,7221.3,9.49,7.915325,16.318
kill15,8,2496.0,4.65,5440.0125,4257,7,1992.28486,2231.8,4.76,7.73715666041,15.196
medwave20,6,1216.0,5.84,8178.19375,7246,5,6622.97876,6886.9,6.13,7.75270941939,15.845
debug1,10,1216.0,4.08,522.7375,257,9,431.3783,440.2,4.09,8.10743984962,15.204
debug1,15,2240.0,5.48,814.84375,353,14,362.28644,372.5,5.48,8.27740871935,15.156
debug1,20,1472.0,4.7,826.85,304,19,558.93723,575.2,4.7,8.90017647059,15.198
ramp20,40,2752.0,10.29,16875.8875,12498,41,5599.02236,6279.4,11.84,7.7982946806,15.252
med15,-1,1984.0,9.12,12519.93125,8409,106,6034.27224,6461.9,9.46,7.80243957722,15.596
high15,8,1728.0,10.8,11875.6125,9858,7,6363.17973,7037.4,11.39,7.84711434364,15.301
highwave20,6,1216.0,5.86,8162.04375,7279,7,6648.68948,6873.3,6.29,7.79776585232,15.352
kill15,10,2752.0,4.67,5852.03125,4246,9,1861.28879,2177.5,4.76,7.89559083431,15.153
kill15,40,1984.0,4.5,5978.35,4272,39,2856.31435,3085.6,4.75,8.12433031779,15.32
high15,10,1216.0,9.64,10083.65625,8917,9,8196.72641,8491.5,10.19,7.74277828815,15.629
ramp20,-1,1216.0,10.05,17037.65625,12496,127,13969.30541,14347.5,11.71,7.94896926246,17.822
highwave20,20,1472.0,9.24,13537.5125,11311,19,8721.73318,9417.4,11.83,7.84549064431,15.393
high15,20,1984.0,11.33,12592.5875,10350,19,5987.47334,6499.4,11.84,7.84961037709,16.006
highwave20,40,2752.0,9.36,15911.88125,11385,39,5164.77245,5920.7,11.86,7.87344476541,15.373
kill15,2,1472.0,2.28,2461.2875,2103,1,1595.82063,1712.2,2.36,7.55964211027,15.228
medwave20,6,2752.0,8.18,13069.3125,9927,6,4147.01185,4863.0,9.53,7.76279089902,15.74
