patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
med15,10,3008.0,9.2,0.91,10390.81875,8370,9,3299.35147,3537.3,9.53,7.9642302184,15.237
ramp20,7,2240.0,10.22,0.9,14390.6875,12422,7,6252.49389,6578.6,11.86,7.78893820903,15.781
ramp20,13,1472.0,10.16,0.89,14815.1625,12440,17,9567.85577,10306.2,11.78,7.91536951112,17.096
highwave20,15,1216.0,9.15,0.93,12939.0,11312,14,10454.36559,10896.0,11.74,7.89699841074,17.356
kill15,19,1472.0,4.59,0.96,5343.1875,4232,18,3481.45893,3717.0,4.75,7.74300376471,15.323
highwave20,7,2752.0,9.34,0.96,14999.20625,11319,6,4722.48273,5581.1,11.88,7.80898657837,17.769
highwave20,15,3008.0,9.37,0.96,14270.9625,11358,15,4541.38976,4858.2,11.91,7.79936173393,15.321
kill15,10,1472.0,4.59,0.96,5103.125,4218,9,3298.6823,3550.0,4.75,7.76520676603,15.561
high15,13,1984.0,11.34,0.96,12416.275,10341,12,5913.8595,6408.4,11.86,7.85116739109,16.194
ramp20,1,2496.0,1.87,-0.3,2857.2375,2348,1,1042.61393,1172.2,1.98,7.84125968497,15.419
kill15,4,1472.0,4.51,0.94,4874.5625,4147,3,3153.13698,3391.0,4.68,7.50533975904,15.302
kill15,2,1728.0,2.35,0.49,2581.5375,2151,1,1391.41801,1529.8,2.43,7.61727695167,15.324
med15,5,2240.0,8.54,0.68,9029.34375,7781,5,3936.49296,4127.7,9.01,7.70449319291,15.925
kill15,16,2240.0,4.64,0.97,5416.03125,4249,17,2350.56197,2475.9,4.76,7.79770604782,15.235
ramp20,1,2752.0,2.02,-0.3,3338.14375,2466,0,1040.44708,1242.1,2.11,7.71125385239,15.205
ramp20,10,2752.0,10.31,0.93,16294.85,12507,9,5233.67605,6063.2,11.89,7.84238294982,19.152
high15,2,1984.0,3.24,-0.0,3493.89375,2960,1,1673.17208,1803.3,3.35,7.67762107396,15.257
ramp20,5,2496.0,9.23,0.62,13917.15,11201,5,5077.47783,5709.6,9.79,7.65063733714,15.74
highwave20,15,2240.0,9.32,0.96,13339.59375,11335,14,5815.1284,6098.1,11.88,7.80381082034,15.857
kill15,3,1472.0,3.44,0.72,3690.20625,3153,2,2374.17721,2567.1,3.56,7.53368050713,15.379
ramp20,20,1728.0,10.22,0.9,15460.70625,12470,22,8372.28667,9161.9,11.79,7.90464008966,15.472
kill15,13,2752.0,4.68,0.97,5644.825,4263,12,1876.75764,2100.4,4.76,7.90948187135,15.186
med15,18,3008.0,9.17,0.9,10728.04375,8351,17,3420.29109,3652.1,9.49,7.89658544455,15.46
highwave20,14,1728.0,9.31,0.95,13723.25625,11344,13,7365.67919,8132.3,11.86,7.91891282909,16.163
high15,17,2496.0,11.35,0.96,13275.84375,10355,16,4918.28825,5446.5,11.89,7.82973589818,15.539
med15,16,1472.0,9.06,0.86,9966.7625,8314,15,6443.8608,6933.4,9.44,7.87740088846,15.283
highwave20,10,2752.0,9.32,0.96,14993.025,11311,9,4774.70113,5578.8,11.86,7.84003109541,15.804
high15,18,1216.0,11.14,0.94,11905.875,10285,17,9619.78711,10026.0,11.76,7.81296864686,15.669
highwave20,8,2496.0,9.32,0.96,14103.8625,11320,7,5132.67239,5786.2,11.88,7.82103478414,15.798
high15,16,2752.0,11.37,0.96,14191.075,10353,16,4488.79469,5280.4,11.89,7.77246619732,15.963
med15,10,1984.0,9.14,0.89,10173.61875,9207,9,4772.14374,5250.9,9.48,7.78621744792,15.223
high15,7,1728.0,9.68,0.76,10644.75,8844,6,5706.82959,6308.0,10.19,7.69570700565,15.207
kill15,6,2752.0,4.66,0.97,5840.475,4245,5,1819.6388,2173.2,4.76,7.78590894118,15.713
med15,6,1472.0,6.85,0.07,7389.0375,6287,5,4750.39681,5140.2,7.11,7.71516640178,15.25
kill15,8,3008.0,4.67,0.97,5343.60625,4250,7,1706.02753,1819.1,4.78,8.05268545924,15.847
high15,11,1984.0,11.43,0.97,5512.38125,10362,7197,2177.15515,2845.1,11.98,7.88128731705,15.232
